	category	latitude	longitude	name	price	scores
1190	shops	31.23475348465806	121.46100109559347	静安别墅	34.0	25
1191	shops	31.235639168750517	121.45631626400635	恒隆广场	8056.0	29
1192	shops	31.235721938685078	121.4562310135559	Roger Vivier	1318.0	28
1193	shops	31.2358910871625	121.4572128167979	中信泰富广场	539.0	25
1194	shops	31.235721938685078	121.4562310135559	Michael Kors	0.0	31
1195	shops	31.237507360439555	121.46064177795867	优衣库(南京西路店)	241.0	24
1196	shops	31.238612506383937	121.46297276759344	American Eagle	604.0	25
1197	shops	31.235721938685078	121.4562310135559	Jimmy Choo	8768.0	28
1198	shops	31.236737900864814	121.45860178752562	三星(南京西路旗舰店)	2480.0	26
1199	shops	31.235721938685078	121.4562310135559	Tod's(恒隆广场店)	3360.0	27
1202	shops	31.23709134278742	121.4592877783954	Snidel(伊势丹店)	1461.0	27
1204	shops	31.235721938685078	121.4562310135559	Louis Vuitton(恒隆广场店)	7269.0	27
1206	shops	31.235482771765515	121.45699221587064	Massimo Dutti(南京西路店)	1237.0	28
1207	shops	31.23709134278742	121.4592877783954	睛姿眼镜店(梅龙镇店)	409.0	28
1208	shops	31.23810030982821	121.46073400401238	龙凤旗袍	2167.0	27
1209	shops	31.236237665666607	121.45883150567151	PRADA(南京西路店)	7296.0	28
1210	shops	31.235721938685078	121.4562310135559	CHANEL(恒隆店)	16195.0	29
1211	shops	31.234847212824747	121.45345230197478	艾丽斯花坊(南京西路店)	217.0	28
1214	shops	31.23709134278742	121.4592877783954	Samantha Thavasa	1696.0	26
1215	shops	31.236506470721615	121.4566260757571	Bottega Veneta(金鹰店)	8529.0	31
1216	shops	31.235721938685078	121.4562310135559	巴黎世家(恒隆店)	12975.0	27
1218	shops	31.236139191415656	121.45774433497469	万宝龙(中信泰富店)	5317.0	29
1219	shops	31.235116527095407	121.45411511043744	Salvatore Ferragamo(上海商城店...	4851.0	30
1221	shops	31.237818472740006	121.46281133973227	艾视迪隐形眼镜专家(四季坊店)	385.0	24
1222	shops	31.23475348465806	121.46100109559347	杂趣	26.0	27
1225	shops	31.2362603815179	121.458714158632	OMEGA(南京西路店)	38317.0	26
1227	shops	31.236676069737424	121.45779844604336	LOEWE(中信泰富店)	8340.0	31
1229	shops	31.235721938685078	121.4562310135559	MIKIMOTO	6250.0	29
1230	shops	31.235721938685078	121.4562310135559	Diesel(恒隆广场店)	0.0	26
1231	shops	31.23656112003832	121.45908923738573	亮视点(南京西路店)	2107.0	24
1232	shops	31.23475348465806	121.46100109559347	莉莉安的铺	27.0	27
1233	shops	31.235721938685078	121.4562310135559	Fendi(恒隆广场店)	4613.0	26
1234	shops	31.240999145396977	121.4628612196629	UHA PREMIUM SHOP	42.0	27
1235	shops	31.242186463203325	121.45989915478205	西区老大房(新闸路店)	14.0	30
1236	shops	31.237322648425234	121.45817749496932	Francfranc(梅龙镇店)	151.0	25
1239	shops	31.236676069737424	121.45779844604336	CHLOE(中信泰富店)	6833.0	26
1241	shops	31.235721938685078	121.4562310135559	琉璃工房(恒隆店)	0.0	25
1242	shops	31.237025218375774	121.45964684835137	南京西路	0.0	27
1243	shops	31.235721938685078	121.4562310135559	Dior Homme(恒隆店)	12714.0	31
1244	shops	31.236139191415656	121.45774433497469	Bally(中信泰富店)	3120.0	27
1248	shops	31.23598467811967	121.45792487342092	TOUGH(中信泰富店)	943.0	25
1250	shops	31.23840162961373	121.46216631541601	马莎百货(南京西路店)	391.0	22
1251	shops	31.237322648425234	121.45817749496932	梅龙镇伊势丹百货	741.0	24
1252	shops	31.236506470721615	121.4566260757571	金鹰国际购物中心	2105.0	21
1253	shops	31.238696458300385	121.46215124410476	G2000(南京西路店)	665.0	23
1254	shops	31.238155937395348	121.46224658149794	H&M(南京西路店)	252.0	22
1255	shops	31.234847212824747	121.45345230197478	城市超市(上海商城店)	88.0	25
1256	shops	31.240167984666826	121.45582046239264	耐克员工店	1587.0	25
1257	shops	31.238205793350247	121.46301392915223	GAP(南京西路店)	352.0	22
1258	shops	31.236237665666607	121.45883150567151	UGG Australia(恒隆店)	1847.0	24
1260	shops	31.239026379077636	121.46299780906355	MUJI(818广场店)	232.0	24
1261	shops	31.236938603679253	121.45936903199235	梅龙镇广场	745.0	23
1262	shops	31.23709134278742	121.4592877783954	Nine West(梅龙镇伊势丹店)	413.0	23
1263	shops	31.23798017766533	121.46065577934486	雷允上药房(南京西路店)	57.0	23
1265	shops	31.237220486644024	121.4597982816765	茂昌眼镜(南西店)	422.0	24
1267	shops	31.236506470721615	121.4566260757571	Gucci(金鹰店)	6301.0	25
1268	shops	31.237693893280955	121.46255155377692	四季坊	69.0	22
1269	shops	31.235890050299734	121.45806729663215	TOUS(南京西路店)	0.0	23
1272	shops	31.23709134278742	121.4592877783954	Burberry(梅龙镇店)	4993.0	27
1273	shops	31.23557905004869	121.45757087970489	蓝棠(南京西路店)	313.0	23
1274	shops	31.2374230166916	121.4613158162298	Next City(吴江店)	206.0	24
1276	shops	31.236938603679253	121.45936903199235	Coach(梅龙镇广场店)	1833.0	22
1277	shops	31.23584592695595	121.45800511913906	LeSportsac	0.0	24
1280	shops	31.235721938685078	121.4562310135559	安娜苏	0.0	24
1284	shops	31.24060130795198	121.45560581668389	免税店	811.0	22
1286	shops	31.23919415795333	121.46374911442905	818广场	220.0	20
1288	shops	31.23709134278742	121.4592877783954	GENTEN	2456.0	26
1289	shops	31.236676069737424	121.45779844604336	Ed Hardy	0.0	27
1290	shops	31.235721938685078	121.4562310135559	I.T(恒隆广场店)	921.0	21
1291	shops	31.235721938685078	121.4562310135559	Tommy Hilfiger(恒隆店)	0.0	24
